numpurch,age,totdol,female,adB,res,validation
89.0,27,321.59,1,0,0,0
72.0,25,107.03,0,1,0,1
6.0,31,410.12,0,1,0,0
48.0,28,102.3,1,1,0,1
52.0,26,203.34,1,0,0,0
16.0,32,378.38,0,1,0,1
43.0,41,213.0,1,1,0,0
15.0,26,390.16,1,1,0,1
55.0,27,367.41,0,0,0,0
15.0,30,384.77,0,0,0,1
50.0,34,271.15,1,1,0,0
55.0,27,439.88,0,0,0,1
11.0,26,322.18,0,0,0,0
11.0,27,191.02,1,1,0,1
59.0,26,191.36,0,1,0,0
84.0,25,393.14,1,1,0,1
54.0,33,161.14,0,0,0,0
43.0,29,166.16,1,1,0,1
10.0,27,583.38,1,1,0,0
8.0,31,156.88,1,1,0,1
103.0,29,108.25,0,0,0,0
59.0,33,302.15,1,1,0,1
108.0,27,162.88,0,1,1,0
46.0,28,422.19,0,0,0,1
54.0,25,302.26,0,0,0,0
13.0,26,252.63,0,1,0,1
89.0,23,114.28,0,1,0,0
8.0,26,494.35,1,0,0,1
87.0,26,135.9,0,1,0,0
57.0,31,133.06,0,0,0,1
97.0,32,195.94,0,0,0,0
13.0,30,316.11,1,1,0,1
90.0,30,212.68,0,1,0,0
16.0,25,119.51,0,0,0,1
12.0,38,301.29,0,1,0,0
7.0,28,116.54,1,0,0,1
39.0,24,222.64,0,0,0,0
96.0,35,188.3,0,1,0,1
9.0,37,370.34,0,1,0,0
72.0,32,264.7,0,0,0,1
110.0,28,148.65,0,1,1,0
109.0,30,204.36,1,1,0,1
10.0,32,410.62,0,0,0,0
63.0,32,197.4,0,0,0,1
53.0,32,164.81,0,0,0,0
57.0,31,141.99,0,0,1,1
10.0,36,205.1,1,1,0,0
96.0,38,324.04,0,1,0,1
12.0,23,134.72,1,0,0,0
12.0,27,309.68,0,0,0,1
56.0,25,162.05,0,0,0,0
14.0,29,174.94,1,1,0,1
84.0,29,266.87,0,1,1,0
10.0,33,490.71,1,0,0,1
50.0,24,233.72,1,0,0,0
42.0,27,314.08,1,0,0,1
55.0,31,300.56,0,1,0,0
33.0,27,317.4,1,1,0,1
51.0,25,316.96,0,0,0,0
89.0,37,287.49,0,0,0,1
101.0,31,204.78,1,0,0,0
9.0,29,334.35,1,0,0,1
45.0,34,176.19,0,1,0,0
114.0,38,206.85,0,1,1,1
9.0,28,187.69,1,1,0,0
103.0,26,252.35,1,0,1,1
